;kurz;source_domain;title;match;match_long;type
124105;Ritzeratze;www.tsd.de;Presse; Projekt „Ritzeratze“ hat er z;n Tabarz, ist renommiert für seine Spielplätze in Japan und der Schweiz. Für das Projekt „Ritzeratze“ hat er zusammen mit seinem Team den Innenhof der Technischen Sammlungen Dresden in eine ;Redewendung
144334;Ritzeratze;www.fictionbox.de;fictionBOX.de | SciFi, Fantasy & Mystery - Comics made in Germany - 60 Jahre Comics aus Deutschland;" Sackmann
Ritzeratze, voller T";":
Die verspätete Nation - Wie der Comic in Deutschland heimisch wurde
Dr. Eckart Sackmann
Ritzeratze, voller Tücke ...
Das 19. Jahrhundert, die Wiege des Comic
Komik im Comic - Nicht lustig,";meta
48483;Ritzeratze;germanstories.vcu.edu;Max und Moritz: Dritter Streich;"der Säge,
Ritzeratze! voller T";"aßt.
# 1 2 3 4 5 6 7 8 9 10 Max und Moritz, gar nicht träge,
Sägen heimlich mit der Säge,
Ritzeratze! voller Tücke,
In die Brücke eine Lücke.
# 1 2 3 4 5 6 7 8 9 10 Und schon ist er auf der ";meta
218027;Ritzeratze;felix-bloch-erben.de;Aktuelle Nachrichten | Felix Bloch Erben GmbH & Co. KG;e mit der ritzeratzeroten Elvi;ht die verrückt liebenswürdige Reihe über Lise, den winzigen Nachbarsjungen Bulle mit der ritzeratzeroten Elvis-Tolle und dem eigenwilligen Doktor Proktor. 2007 nehmen die Abenteuer mit Dokt;fail
46474;Ritzeratze;drakensang.fandom.com;Versionsgeschichte von „Eine alte Schatzkarte“ | Drakensang Wiki | Fandom;tfcckelt. Ritzeratze veollr Tf;"st mein Sohn, der nur 2,5 Jahre ist, zitiert Busch, wenn er sein Butterbrot zerstfcckelt. Ritzeratze veollr Tfccke . Sicher versteht er noch nicht den sprichwf6rtli…) (rückgängig machen)
(Ak";Zitat
24653;Ritzeratze;www.ruhrnachrichten.de;Max und Moritz;"und Band
""Ritzeratze, voller T";"e das Von Thomas Schroeter
Westfälische Landestheater
Max und Moritz außer Rand und Band
""Ritzeratze, voller Tücke in die Brücke eine Lücke!"" Kommt dann Schneidermeister Böck geeilt, landet ";meta
