;kurz;source_domain;title;match;match_long;type
11002;Einsam;muenster.org;Archiv - Altes BackhausAltes Backhaus; Busch: „Wer einsam ist, der hat es gut, weil kei;en wollen – zum Beispiel der oft sarkastische, zur Misanthropie neigende Wilhelm Busch: „Wer einsam ist, der hat es gut, weil keiner da, der ihm was tut.“ Der Wein, Weib und vielen Freunden zugeneigte Johann W;Zitat
103454;Einsam;www.thalia.de;Schläft ein Lied in allen Dingen von Johann Wolfgang Goethe - Buch | Thalia;" fragen!
Wer einsam ist, der hat es gut!";"htiges Herz. Das ist anderwärts!
von Joachim Ringelnatz
Mein Herz, ich will dich fragen!
Wer einsam ist, der hat es gut!";meta
111432;Einsam;www.hkd-material.de;"Trauerarmband: ""Das Licht besiegt die Dunkelheit"" für Kinder | HKD";"t 2007. ""Wer einsam ist, der hat es gut, weil kei";"her Dienste,...
Allein oder einsam? Begegnung mit einsamen...
Arbeitshilfe Herbst 2007. ""Wer einsam ist, der hat es gut, weil keiner da, der ihm was tut.""";Redewendung
