;kurz;source_domain;title;match;match_long;type
170329;MeckMeckMeck;digital.zlb.de;Adlershofer Zeitung Issue 241.2014 - Digitale Landesbibliothek Berlin - Zentral- und Landesbibliothek Berlin;5. unter „Meck Meck Meck – von Wöl;t der Familien mit Märchen willkommen. Für Jugendliche und Erwachsene wird am 9.5. unter „Meck Meck Meck – von Wölfen und anderen Ziegen“ eine Lesung mit bewegten Bildern und Puppenspiel dargebo;Redewendung
83006;MeckMeckMeck;www.oldenbourg-klick.de;Suche & Archiv | Oldenbourg Klick;"Schneider meck-meck-meck"" verspott";"ch war. Durch das Auf- und Zuklappen der großen Schere wurde der Schneider als ""Schneider meck-meck-meck"" verspottet und der Ziegenbock zu seinem...
Guten Morgen, good morning
In diesem Kanon wi";Redewendung
37407;MeckMeckMeck;www.oldenbourg-klick.de;Suche & Archiv | Oldenbourg Klick;"Schneider meck-meck-meck"" verspott";"ch war. Durch das Auf- und Zuklappen der großen Schere wurde der Schneider als ""Schneider meck-meck-meck"" verspottet und der Ziegenbock zu seinem...
In diesem Kanon wird der Morgengruß in versch";double
48483;MeckMeckMeck;germanstories.vcu.edu;Max und Moritz: Dritter Streich;"chneider, meck, meck, meck!""
# 1 2 3";"# 1 2 3 4 5 6 7 8 9 10 ""He, heraus! Du Ziegen-Böck!
Schneider, Schneider, meck, meck, meck!""
# 1 2 3 4 5 6 7 8 9 10 Beide Gänse in der Hand,
Flattert er auf trocknes Land.
# 1 2 3 ";meta
48570;MeckMeckMeck;www.psyalpha.net;Redaktion | psyalpha;"chneider, meck, meck, meck!‘ “
Redak";"nen, z.B.: „Die boshaften Buben rufen: ‚He, heraus! Du Ziegen-Bock! Schneider, Schneider, meck, meck, meck!‘ “
Redaktion. Christine Diercks, Christian Huber, Sabine Schlüter 6.9.2010
‹ Förderer na";Redewendung
207125;MeckMeckMeck;eifelon.de;Zur EIFELON Startseite (hier klicken);"entdecken
Meck, meck, meck – Wer wil";"r Bauwillige erschlossen. [pg] ↑
Freilichtmuseum Kommern: Vergangene Zeiten neu entdecken
Meck, meck, meck – Wer will wissen, wie wir hier im Freilichtmuseum Kommern leben? [Foto: Michael Faber/LV";Redewendung
102679;MeckMeckMeck;www.friedrich-verlag.de;Suche;ufführung Meck, meck, meck – O Schre;terricht der Grundschule Die Bremer Stadtmusikanten Eine szenisch-musikalische Aufführung Meck, meck, meck – O Schreck! ...;Redewendung
