;kurz;source_domain;title;match;match_long;type
114197;Schwaermt;austria-forum.org;Sauerkraut | AustriaWiki im Austria-Forum;"ch hole,
Wofür sie besonders schwärmt,
Wenn er wieder";"nem Teller
Witwe Bolte in den Keller,
Daß sie von dem Sauerkohle
Eine Portion sich hole,
Wofür sie besonders schwärmt,
Wenn er wieder aufgewärmt.
Gemüse durch Milchsäuregärung zu konservieren ist eine sehr alte, i";Zitat
56413;Schwaermt;www.waterboelles.de;Eine Erntekrone der Landwirte für die Bürger dieser Stadt | Waterbölles;"ch hole.
Wofür sie besonders schwärmt,
wenn er wieder";"em Teller
Witwe Bolte in den Keller,
dass sie von dem Sauerkohle
eine Portion sich hole.
Wofür sie besonders schwärmt,
wenn er wieder aufgewärmt.“
Diese Zeilen aus Wilhelm Busch’s Max und Moritz führen uns vier bi";Zitat
