;kurz;source_domain;title;match;match_long;type
90539;Enthaltsamkeit;www.frankfurt-online.de;Frankfurt-Online;Enthaltsamkeit ist das Vergnügen an Sachen;Enthaltsamkeit ist das Vergnügen an Sachen, welche wir nicht kriegen.;Redewendung
157727;Enthaltsamkeit;zitate-aphorismen.de;Enthaltsamkeit ist das Vergnügen - Zitate - Aphorismen - Lebensweisheiten;"lm Busch: Enthaltsamkeit ist das Vergnügen
Enthaltsa";"Wilhelm Busch: Enthaltsamkeit ist das Vergnügen
Enthaltsamkeit ist das Vergnügen
An Sachen, welche wir nicht kriegen.
Quelle: Und die Moral von der Geschicht, Sämtliche Werke I, 4. Aufl. 1988: München, Bert";meta
142434;Enthaltsamkeit;beusmann.de;Bernd Beusmann: Start Zitate;"r""
(139) ""Enthaltsamkeit ist das Vergnügen an Sachen";"Du jagst einen Tiger und findest dich schließlich schlafend auf einem Baum wieder""
(139) ""Enthaltsamkeit ist das Vergnügen an Sachen, welche wir nicht kriegen.""
(131) ""Es ist nicht schwer, zu komponieren. Aber es";meta
