;kurz;source_domain;title;match;match_long;type
176193;BubenKorinth;www.schultreff.de;Busch, Wilhelm;"s und die bösen Buben von Korinth
- Ein Abe";"- Die Rache des Elefanten
- Die Rutschpartie
- Die Strafe der Faulheit
- Diogenes und die bösen Buben von Korinth
- Ein Abenteurer in der Neujahrsnacht
- Fipps, der Affe
- Hans Huckebein
- Max und Moritz";meta
127040;BubenKorinth;www.scribd.com;Der neidische Handwerksbursch by Wilhelm Busch - Book - Read Online;"s und die bösen Buben von Korinth
Die Straf";"m Fotografen
Erzählungen: Prosatexte, Autobiographisches und ein Gedicht
Diogenes und die bösen Buben von Korinth
Die Strafe der Faulheit
Die Rache des Elefanten
Der Bauer und der Windmüller
Zwei Diebe
S";meta
66939;BubenKorinth;www.scribd.com;Der vergebliche Versuch by Wilhelm Busch - Book - Read Online;"s und die bösen Buben von Korinth
Wie man N";"er Windmüller
Zwei Diebe
Die Strafe der Faulheit
Die Rache des Elefanten
Diogenes und die bösen Buben von Korinth
Wie man Napoliums macht
Erzählungen: Prosatexte, Autobiographisches und ein Gedicht
Der h";meta
8256;BubenKorinth;www.claudio.de;Wer Sorgen hat, hat auch Likör ... | Wilhelm Busch | Claudio.de;"s und die bösen Buben von Korinth"" oder ""Di";" Dies zeigt sich wunderbar an Klassikern wie ""Das Bad am Samstagabend"", ""Diogenes und die bösen Buben von Korinth"" oder ""Die fromme Helene"". Sie alle (und noch vielmehr) sind auf diesem Hörbuch versammel";meta
