;kurz;source_domain;title;match;match_long;type
200711;WasManBesondersGerne;humanistische-aktion.de;Menschliche Zukunft - Raumfahrt;"effend: ""Was man besonders gerne tut ist selten ganz beso";"enden.
Sicher, erlaubt ist was gefällt, aber wie sagte schon Wilhelm Busch so treffend: ""Was man besonders gerne tut ist selten ganz besonders gut."" Und auch die folgenden drei Zitate treffen den Kern unseres Themas, ";Zitat
130794;WasManBesondersGerne;humanistische-aktion.de;Warum ich kein Christ bin;reffend: Was man besonders gerne tut, ist selten ganz beso;ten und dem Machtstreben einiger Menschen entgegen. Wie sagte Wilhelm Busch so treffend: Was man besonders gerne tut, ist selten ganz besonders gut. Das Christentum fördert wie die Monarchie den Untertanengeist und nic;Zitat
