;kurz;source_domain;title;match;match_long;type
127242;Onkel;www.redensarten-index.de;Die Feder ist maechtiger als das Schwert;" derb
Ein Onkel, der Gutes mitbringt, ist bess";"in die hohle Hand geschissen! Das ist besser als gar nichts
! umgangssprachlich, derb
Ein Onkel, der Gutes mitbringt, ist besser als eine Tante, die bloß Klavier spielt Ein Geschenk ist besser als wohlmeine";meta
21611;Onkel;www.kreiszeitung-wochenblatt.de;Mühlenverein Karoxbostel - Thema;"tal. ""Ein Onkel, der Gutes mitbringt, ist bess";" Euro: Deutsche Stiftung Denkmalschutz fördert Wassermühle Karoxbostel
kb. Seevetal. ""Ein Onkel, der Gutes mitbringt, ist besser als eine Tante, die bloß Klavier spielt."" Mit diesen Worten bedankte sich Hit";Redewendung
